epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5931,1.38114,3.78714,1.74748,0.01048,0.8532,0.17856,0.09536,1.34354,3.59803,1.8943,0.000232195,0.000232195,0.000232195
2,45.5896,1.38501,2.85238,1.712,0.4432,0.35418,0.36473,0.17935,1.57314,2.76534,2.08671,0.000467846,0.000467846,0.000467846
3,66.464,1.45721,2.32138,1.73292,0.1313,0.16667,0.08683,0.03917,2.12168,3.77551,2.67427,0.00070112,0.00070112,0.00070112
4,88.5601,1.44264,2.138,1.71598,0.35374,0.34731,0.22468,0.09763,1.93038,3.35488,2.69872,0.000703301,0.000703301,0.000703301
5,107.562,1.42042,1.94648,1.70221,0.42017,0.27691,0.24906,0.12039,1.83073,3.25505,2.40924,0.000699734,0.000699734,0.000699734
6,126.191,1.36939,1.81864,1.67597,0.55209,0.45238,0.46657,0.2471,1.66098,2.43686,2.19557,0.000696168,0.000696168,0.000696168
7,145.061,1.38046,1.72438,1.66893,0.50277,0.4013,0.37868,0.17951,1.79017,2.56029,2.33298,0.000692601,0.000692601,0.000692601
8,162.679,1.34804,1.64919,1.63822,0.57453,0.51416,0.5428,0.29243,1.62924,2.02369,2.13012,0.000689035,0.000689035,0.000689035
9,181.863,1.34526,1.57584,1.62886,0.47292,0.45546,0.43754,0.21733,1.73897,2.3799,2.19685,0.000685469,0.000685469,0.000685469
10,199.608,1.3303,1.5259,1.6253,0.59977,0.58066,0.59846,0.32397,1.61109,1.722,2.10489,0.000681902,0.000681902,0.000681902
11,220.591,1.32803,1.46776,1.61985,0.62804,0.59483,0.61639,0.34442,1.52672,1.70168,1.97283,0.000678336,0.000678336,0.000678336
12,238.507,1.30513,1.43809,1.59559,0.62864,0.48138,0.53016,0.27299,1.69461,1.87597,2.11469,0.000674769,0.000674769,0.000674769
